Pattern Name,Category,Component use,Description,Example,Placeholder example,Subcategory
VisualizationGenerator,Output Control,Output Format/Style,"Generate visual or tabular representations (charts, tables).","Generate visualization: bar chart
Structure data for tool: matplotlib
Output must be formatted for visualization.
","Generate visualization: {VISUALIZATION_TYPE}

Structure data for tool: {TOOL}

Output must be formatted for visualization.

{QUESTION}
{INPUT_DATA}",Output formatting
SchemaSpecs,Output Control,Output Format/Style,Define schema/structure the model must follow.,"Output must follow schema: {Title:…, Author:…, Year:…}”","Force output into schema: {SCHEMA}

Populate schema fields: {FIELD_1}, {FIELD_2}, …

{QUESTION}",Schema specification
FlippedInteraction,Meta-Directives,Directive,Model asks the user questions instead of directly answering.,"I would like you to ask me questions to achieve X
You should ask questions until this condition is met or
to achieve this goal (alternatively, forever)
(Optional) ask me the questions one at a time, two at
a time, etc.","Instead of answering directly:
Generate subquestions to ask user: {Q1}, {Q2}, …

Stop when {GOAL_CONDITION} is satisfied.

{QUESTION}",Interaction
GamePlay,Meta-Directives,Directive,Frame the task as a game to increase engagement.,"Create a game around practicing French vocabulary.
The game must define one or more fundamental rules.
The rules should constrain how the user can respond.
The interaction must proceed according to the defined rules.
","Frame task as a game: {GAME_NAME}

Define rules: {RULE_1}, {RULE_2}, …

Interaction must proceed according to rules.

{QUESTION}",Interaction
InfiniteGeneration,Meta-Directives,Directive,"Model generates continuously, with prompts to “keep going.”","I would like you to generate a name
and job forever. I am going to provide a
template for your output. Everything in all caps is a
placeholder. Any time that you generate text, try to
fit it into one of the placeholders that I list. Please
preserve the formatting and overall template that I
provide: https://myapi.com/NAME/profile/JOB","Continuously generate {OUTPUT_TYPE}

Batch size = {N} outputs per turn

Stop when {STOP_CONDITION}

{QUESTION}
",Interaction
Question Refinement,Meta-Directives,Directive,Improve or reformulate the user’s query for clarity.,"Within scope of cybersecurity and security risks, suggest a better version of the question
to use instead
(Optional) prompt me if I would like to use the better
version instead

How to use Windows?","Take input query: {RAW_QUESTION}

Suggest a refined version: {REFINED_QUESTION}

(Optional) Ask user to confirm refinement.

{QUESTION}
",Enhancement
RAR,Meta-Directives,"Directive, Procedural Steps","In one prompt, the model first rephrases and expands the question, then answers the rephrased version.","Rephrase and expand the question below, then answer the expanded version.

Question: Was Ada Lovelace born before the telephone was invented?","Rephrase and expand the following question, then answer your rephrased version.

Question: {QUESTION}",Refinement
Alternative Approaches,Meta-Directives,"Directive, Procedural Steps",Suggest multiple different ways to solve the same problem.,"Within scope X, if there are alternative ways to accom-
plish the same thing, list the best alternate approaches
(Optional) compare/contrast the pros and cons of each
approach
(Optional) include the original way that I asked
(Optional) prompt me for which approach I would like
to use","Given input task: {TASK}

List alternative approaches: {APPROACH_1}, {APPROACH_2}, …

(Optional) Compare pros/cons of each.

{QUESTION}
",Enhancement
RE2,Meta-Directives,Directive,"Re-reading: instruct the model to read the question again before answering, to improve reasoning.","Read the question again before answering.

Question: Which city hosted the 2016 Summer Olympics?
Now answer the question.","Read the question again: {QUESTION}
{INPUT_DATA}

Now answer the question.",Refinement
RefusalBreaker,Meta-Directives,"Constraints, Directive",Overcome model refusals by reframing the request.,"Whenever you can’t answer a question
Explain why you can’t answer the question
Provide one or more alternative wordings of the ques-
tion that you could answer","If refusal occurs:
Step 1: State refusal reason.
Step 2: Reframe request into 
alternative query: {ALT_QUERY}

{QUESTION}
",Enhancement
InstructionSelection,Meta-Directives,"Directive, Procedural Steps","Given several candidate instructions for a task, the model selects the most appropriate one and then carries out the task using it.","Here are three candidate instructions for summarizing a contract:
A) ""Summarize the contract in plain English.""
B) ""List each obligation and its responsible party.""
C) ""Extract key dates, amounts, and termination clauses.""
Choose the one best suited to a compliance review, state your choice, then apply it to the contract below.

Contract: {CONTRACT}","Candidate instructions: {INST_1}, {INST_2}, … {INST_N}
Select the instruction best suited to {TASK}, state your choice, then carry out the task using it.

{INPUT_DATA}",Refinement
CognitiveVerifier,Meta-Directives,"Directive, Procedural Steps",Add explicit verification of reasoning correctness.,"When you are asked a question, follow these rules
Generate a number of additional questions that would
help more accurately answer the question
Combine the answers to the individual questions to
produce the final answer to the overall question","Given input question: {QUESTION}

Generate subquestions: {Q1}, {Q2}, …

Answer each subquestion.
Combine subanswers into final answer.
",Enhancement
ContextManager,Context Control,"Context, Directive, Procedural Steps",Explicitly control what context the model uses to avoid drift.,"Within scope X
Please consider Y
Please ignore Z
(Optional) start over","Set scope: {SCOPE}
Include only: {INCLUDE_ITEMS}
Exclude always: {EXCLUDE_ITEMS}
If signal = ""reset"", discard accumulated context and restart within {SCOPE}.

{QUESTION}
{INPUT_DATA}",Context grounding
